"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"75","248.3669272221099","118.92078289765426","0.01171875","0.017578125","0.005859375","1560","0.0010931335391103575","32","0.0010931335391103575","0","0.0010931335391103575","0.0010931335391103575","90:0.003109588020443005;71:0.004257069716839895","90:88;71:112","Yes","90:0.0033464108952853955;71:0.005210857907793381"
"76","180.0618485550979","117.1310733448522","0.052978515625","0.0234375","0.08251953125","1560","0.00029326715787007","32","0.00029326715787007","0","0.00029326715787007","0.00029326715787007","91:0.006131608885385359;77:0.0027253650560250253","91:68;77:68","Yes","91:0.002620461236877536;77:0.006676284263655546"
"77","200.12325460933207","180.9191016335426","0.02587890625","0.02001953125","0.03173828125","1560","0.000332874465528782","32","0.000332874465528782","0","0.000332874465528782","0.000332874465528782","78:0.002621745399322667;76:0.0027253650560250253","78:68;76:68","Yes","78:0.005058899159931823;76:0.006676284263655546"
"78","81.47124240092688","91.87898815003298","0.032958984375","0.0361328125","0.02978515625","1560","0.0002304222156378306","32","0.0002304222156378306","0","0.0002304222156378306","0.0002304222156378306","77:0.002621745399322667;79:0.014281781200866012;72:0.002977954384499548","77:68;79:88;72:120","Yes","77:0.005058899159931823;79:0.03747333308317405;72:0.003966970581836843"
"79","16.256229531749774","21.60089253276408","0.034912109375","0.0693359375","0.00048828125","1560","0.0037938156291481596","32","0.0037938156291481596","0","0.0037938156291481596","0.0037938156291481596","78:0.014281781200866012;80:0.012931864732803194","78:88;80:68","Yes","78:0.03747333308317405;80:0.027451004538984164"
"80","153.98848913744425","26.54446815647212","0.026611328125","0.03271484375","0.0205078125","1560","0.00021276380239683694","32","0.00021276380239683694","0","0.00021276380239683694","0.00021276380239683694","81:0.002381223767111751;92:0.004487927049203172;79:0.012931864732803194","81:68;92:68;79:68","Yes","81:0.003981541989633741;92:0.003394254177535222;79:0.027451004538984164"
"81","83.34028966069685","99.1644172252261","0.005126953125","0.00634765625","0.00390625","1560","0.00038047188509574773","32","0.00038047188509574773","0","0.00038047188509574773","0.00038047188509574773","80:0.002381223767111751;82:0.0037119250268325965","80:68;82:68","Yes","80:0.003981541989633741;82:0.008539828123649423"
"82","202.10287046236343","136.24726314914406","0.065185546875","0.0830078125","0.04736328125","1560","0.00042744501791154154","32","0.00042744501791154154","0","0.00042744501791154154","0.00042744501791154154","81:0.0037119250268325965;83:0.00438538405936198;73:0.00305702332822666","81:68;83:68;73:88","Yes","81:0.008539828123649423;83:0.011127636128184515;73:0.01210082002819926"
"83","142.84471969580767","81.5868765974998","0.014892578125","0.009765625","0.02001953125","1560","0.00034647831697058357","32","0.00034647831697058357","0","0.00034647831697058357","0.00034647831697058357","82:0.00438538405936198;84:0.003907818597020801","82:68;84:108","Yes","82:0.011127636128184515;84:0.008122259685089506"
"84","202.2446634966975","53.728193380135615","0.047607421875","0.05126953125","0.0439453125","1560","0.0006304068836977596","32","0.0006304068836977596","0","0.0006304068836977596","0.0006304068836977596","93:0.006284739286291419;83:0.003907818597020801;85:0.03239256969197307","93:68;83:108;85:88","Yes","93:0.004704887069702374;83:0.008122259685089506;85:0.0022273775386856542"
"85","3.3030589091535836","8.51871939465501","0.035888671875","0.05810546875","0.013671875","1560","0.0035166031489623885","32","0.0035166031489623885","0","0.0035166031489623885","0.0035166031489623885","86:0.017787951068308328;84:0.03239256969197307","86:68;84:88","Yes","86:0.08531165361532482;84:0.0022273775386856542"
"86","182.01206385822098","106.16193937690191","0.192626953125","0.35546875","0.02978515625","1560","0.00015477734406054293","32","0.00015477734406054293","0","0.00015477734406054293","0.00015477734406054293","85:0.017787951068308328;74:0.002390507204458353;87:0.0018421980661021964","85:68;74:68;87:68","Yes","85:0.08531165361532482;74:0.004803663832592758;87:0.00418753516230555"
"87","254.81180617788652","239.94859823447015","0.006103515625","0.00341796875","0.0087890625","1560","0.0001512102721469291","32","0.0001512102721469291","0","0.0001512102721469291","0.0001512102721469291","86:0.0018421980661021964;88:0.009952277369387141","86:68;88:68","Yes","86:0.00418753516230555;88:0.013186223793884677"
